name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total,name_new
13595 Griggs,Detroit,50.97 $,9.03%,No,66261.00 $,28.54 $,232.42 $,13595-griggs
16051 E State Fair,Detroit,49.65 $,9.86%,No,68517.00 $,977.18 $,6902.21 $,16051-e-state-fair
14903 Promenade,Detroit,50.40 $,9.87%,No,69552.00 $,151.20 $,680.40 $,14903-promenade
10822 Whitehill,Detroit,50.04 $,9.03%,No,65052.00 $,27.52 $,227.68 $,10822-whitehill
13700 Dexter,Detroit,50.37 $,10.14%,No,629625.00 $,3529.19 $,23646.03 $,13700-dexter
1991 Ewald,Detroit,50.47 $,10.11%,No,353290.00 $,883.23 $,19265.73 $,1991-ewald
5733 Neely,Montgomery,48.96 $,7.28%,No,210528.00 $,1224.00 $,9229.84 $,5733-neely
2 Holdings Arcola,Detroit,50.78 $,10.07%,No,203120.00 $,2253.69 $,9820.31 $,2-holdings-arcola
2 Holdings Tappan,Detroit,50.63 $,10.23%,No,346815.50 $,835.40 $,4718.72 $,2-holdings-tappan
2 Holdings Milton,Detroit,50.47 $,10.38%,No,282632.00 $,4275.31 $,14786.71 $,2-holdings-milton
1 Holdings N Arcola,Detroit,50.29 $,10.39%,No,668857.00 $,1928.68 $,18534.73 $,1-holdings-n-arcola
1 Holdings Milton,Detroit,50.79 $,10.17%,No,406320.00 $,1445.55 $,26024.63 $,1-holdings-milton
1 Holdings Tappan,Detroit,50.26 $,10.18%,No,402080.00 $,2515.51 $,14112.05 $,1-holdings-tappan
19643 Rogge,Detroit,50.55 $,9.13%,No,74814.00 $,149.29 $,1583.81 $,19643-rogge
1 Holdings Palmetto,Detroit,50.60 $,10.11%,No,278300.00 $,2093.91 $,9891.77 $,1-holdings-palmetto
1 Holdings S Arcola,Detroit,50.53 $,10.23%,No,469929.00 $,2071.99 $,28143.67 $,1-holdings-s-arcola
1769 Cheryl,Griffin,49.56 $,7.18%,No,307272.00 $,577.56 $,10722.15 $,1769-cheryl
15084 Lesure,Detroit,51.05 $,9.15%,No,70449.00 $,255.25 $,714.70 $,15084-lesure
4021 E Outer,Detroit,53.43 $,9.19%,No,74802.00 $,213.72 $,1175.46 $,4021-e-outer
17326 Albion,Detroit,50.84 $,9.10%,No,73718.00 $,203.36 $,869.36 $,17326-albion
9117 Manor,Detroit,50.00 $,9.43%,No,125000.00 $,35.01 $,1685.01 $,9117-manor
15824 Cheyenne,Detroit,50.32 $,9.13%,No,70448.00 $,100.64 $,725.11 $,15824-cheyenne
18933 Fairport,Detroit,50.39 $,9.07%,No,68026.50 $,352.73 $,1360.58 $,18933-fairport
14260 Roselawn,Detroit,50.85 $,10.03%,No,73732.50 $,472.14 $,2603.52 $,14260-roselawn
14916 Hubbell,Detroit,50.32 $,9.44%,No,70448.00 $,397.53 $,920.86 $,14916-hubbell
15110 Freeland,Detroit,50.16 $,9.10%,No,69220.80 $,199.78 $,2954.06 $,15110-freeland
17310 Bentler,Detroit,50.84 $,5.43%,No,732096.00 $,474.88 $,6592.88 $,17310-bentler
13000 Promenade,Detroit,50.51 $,9.15%,No,78290.50 $,172.24 $,1599.15 $,13000-promenade
