name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total
4342-4344 Cortland,Detroit,53.68 $,10.34%,No,150304.00 $,425.67 $,11014.38 $
16007 Nelacrest,East Cleveland,50.12 $,6.09%,No,360864.00 $,1586.02 $,25629.36 $
10411-10421 Cadieux,Detroit,50.26 $,6.76%,Yes,1055460.00 $,1185.23 $,43461.55 $
1354 W 64th,Chicago,51.03 $,4.73%,No,944055.00 $,2770.02 $,22172.09 $
16851-16881 Greenfield,Detroit,50.85 $,10.30%,Yes,1881450.00 $,7045.29 $,77693.59 $
3344 E 140th,Cleveland,51.94 $,9.80%,No,197372.00 $,367.47 $,8056.01 $
10030 Cadieux,Detroit,51.61 $,6.04%,No,412880.00 $,1961.49 $,19531.52 $
212 N Park,Jackson,50.72 $,5.67%,No,228240.00 $,71.01 $,14866.54 $
10435-10445 Cadieux,Detroit,50.54 $,9.65%,No,833910.00 $,3418.20 $,23991.41 $
9151 Whittier,Detroit,50.02 $,9.66%,No,1050420.00 $,2549.52 $,27520.16 $
16767 Greenfield,Detroit,50.60 $,7.22%,No,597080.00 $,1497.89 $,12606.45 $
3747 Scovel,Detroit,50.19 $,12.79%,Yes,692622.00 $,1049.66 $,44136.09 $
1389 Bird,Birmingham,52.74 $,7.46%,Yes,922950.00 $,7698.00 $,47328.62 $
19268 Eureka,Detroit,52.76 $,10.39%,No,110796.00 $,283.02 $,5529.71 $
8065 Lost Shaker,Kissimmee,50.55 $,7.80%,Yes,682425.00 $,683.03 $,60020.40 $
3323 Waverly,Detroit,52.65 $,10.72%,No,57915.00 $,100.99 $,2881.29 $
10518 Woodland,Cleveland,50.06 $,11.14%,No,360432.00 $,470.16 $,24306.86 $
425 Steward,Jackson,50.73 $,11.37%,No,182628.00 $,507.81 $,4605.43 $
1907 Ottawa,Toledo,51.87 $,11.03%,Yes,363090.00 $,57.58 $,12084.79 $
13245 Monica,Detroit,51.34 $,11.84%,Yes,872780.00 $,4358.71 $,31518.72 $
15440-15444 St Clair,Cleveland,49.59 $,11.65%,No,223155.00 $,1025.12 $,9713.51 $
11750 Morang,Detroit,51.64 $,11.58%,No,619680.00 $,1245.56 $,25055.01 $
7337 S Yale,Chicago,51.62 $,9.58%,No,645250.00 $,1334.27 $,16905.84 $
9135 Yorkshire,Detroit,50.86 $,10.88%,No,111892.00 $,334.46 $,5999.63 $
4000 Taylor,Detroit,54.34 $,10.50%,No,59774.00 $,0.00 $,2381.60 $
2626-2638 Wreford,Detroit,51.79 $,11.31%,No,362530.00 $,31.70 $,30629.37 $
8017-8019 S Paulina,Chicago,51.25 $,8.89%,No,486875.00 $,2312.17 $,15278.56 $
5517-5519 Elmhurst,Detroit,54.37 $,10.92%,No,103303.00 $,13.37 $,10322.07 $
12730 Wade,Detroit,50.65 $,10.66%,No,65845.00 $,161.07 $,2869.03 $
