name,city,realt_price,realt_apr,rmm,supply,volume_month,volume_total
15634 Liberal,Detroit,51.58 $,14.04%,No,61896.00 $,1.22 $,8944.43 $
20200 Lesure,Detroit,71.50 $,13.14%,No,71500.00 $,71.50 $,4087.45 $
9336 Patton,Detroit,65.50 $,12.54%,No,65500.00 $,32.75 $,3498.42 $
8342 Schaefer,Detroit,52.00 $,12.94%,No,208000.00 $,596.24 $,21024.84 $
5942 Audubon,Detroit,82.00 $,14.25%,No,61500.00 $,0.00 $,4131.11 $
25097 Andover,Dearborn Heights,60.68 $,10.46%,No,84952.00 $,0.00 $,5698.50 $
18900 Mansfield,Detroit,53.45 $,15.45%,No,58795.00 $,4.81 $,4353.57 $
18276 Appoline,Detroit,54.23 $,12.56%,No,75922.00 $,418.53 $,4812.08 $
9943 Marlowe,Detroit,68.50 $,13.20%,No,68500.00 $,0.00 $,7591.17 $
3432 Harding,Detroit,51.23 $,11.38%,No,66599.00 $,0.00 $,18758.65 $
10084 Grayton,Detroit,52.94 $,11.09%,No,68822.00 $,115.41 $,12657.42 $
12334 Lansdowne,Detroit,55.15 $,11.46%,No,71695.00 $,162.33 $,12055.42 $
9169 Boleyn,Detroit,59.05 $,10.98%,No,76765.00 $,3.54 $,5446.57 $
9166 Devonshire,Detroit,57.89 $,12.83%,No,81046.00 $,58.64 $,5087.26 $
15778 Manor,Detroit,62.35 $,12.64%,No,81055.00 $,100.72 $,12032.16 $
10974 Worden,Detroit,55.15 $,11.21%,No,71695.00 $,56.80 $,7189.51 $
9165 Kensington,Detroit,56.85 $,12.30%,No,73905.00 $,346.41 $,28522.94 $
9309 Courville,Detroit,53.53 $,12.83%,No,74942.00 $,53.53 $,14738.99 $
10616 McKinney,Detroit,52.81 $,10.88%,No,68653.00 $,108.26 $,12509.08 $
18433 Faust,Detroit,59.00 $,9.17%,No,76700.00 $,104.43 $,10481.83 $
9133 Devonshire,Detroit,58.27 $,12.28%,No,75751.00 $,2.33 $,4305.28 $
10604 Somerset,Detroit,54.38 $,11.41%,No,70694.00 $,54.33 $,2079.28 $
4340 East 71,Cleveland,54.37 $,13.08%,No,434960.00 $,6439.56 $,23482.00 $
10612 Somerset,Detroit,51.15 $,10.68%,No,66495.00 $,40.92 $,7201.45 $
13116 Kilbourne,Detroit,53.62 $,10.32%,Yes,69706.00 $,428.96 $,4706.76 $
13114 Glenfield,Detroit,59.94 $,10.48%,No,107892.00 $,788.47 $,8886.80 $
6923 Greenview,Detroit,53.62 $,10.68%,No,69706.00 $,107.24 $,3963.73 $
15784 Monte Vista,Detroit,55.50 $,11.73%,No,66600.00 $,0.05 $,9897.27 $
15048 Freeland,Detroit,50.65 $,11.29%,No,65845.00 $,20.72 $,2509.44 $
18273 Monte Vista,Detroit,55.23 $,10.39%,No,71799.00 $,2.76 $,386.65 $
15095 Hartwell,Detroit,52.08 $,12.16%,No,67704.00 $,67.03 $,1477.51 $
18466 Fielding,Detroit,54.38 $,11.39%,No,70694.00 $,0.00 $,516.07 $
13991 Warwick,Detroit,46.65 $,10.73%,No,60645.00 $,88.68 $,5339.28 $
1000 Florida,Akron,58.99 $,12.44%,No,235960.00 $,1410.45 $,24323.80 $
10024-10028 Appoline,Detroit,173.74 $,10.24%,No,694960.00 $,944.45 $,33863.08 $
19317 Gable,Detroit,46.69 $,10.51%,No,60697.00 $,46.69 $,1534.78 $
581-587 Jefferson,Rochester,58.48 $,0.00%,No,584800.00 $,2064.46 $,24800.39 $
272 N.E. 42nd Court,Deerfield Beach,108.83 $,4.41%,No,326490.00 $,339.70 $,27488.57 $
15770 Prest,Detroit,56.04 $,11.50%,No,72852.00 $,56.04 $,1108.16 $
1244 S. Avers,Chicago,50.00 $,10.40%,No,400000.00 $,804.00 $,3940.44 $
19596 Goulburn,Detroit,50.46 $,11.22%,No,65598.00 $,10.09 $,8061.15 $
18481 Westphalia,Detroit,53.83 $,10.35%,No,64596.00 $,0.05 $,218.36 $
15039 Ward,Detroit,52.13 $,12.36%,No,62556.00 $,0.00 $,2431.03 $
19311 Keystone,Detroit,52.13 $,10.63%,No,62556.00 $,0.00 $,582.82 $
4680 Buckingham,Detroit,50.54 $,11.00%,No,60648.00 $,1.01 $,758.35 $
4061 Grand,Detroit,71.11 $,11.23%,No,127998.00 $,7.11 $,1873.09 $
19163 Mitchell,Detroit,56.33 $,11.57%,No,67596.00 $,2.82 $,678.53 $
19201 Westphalia,Detroit,52.17 $,11.87%,No,62604.00 $,17.16 $,1204.28 $
9717 Everts,Detroit,50.50 $,11.81%,No,60600.00 $,58.07 $,1960.41 $
15796 Hartwell,Detroit,53.04 $,11.84%,No,63648.00 $,4.51 $,1834.55 $
17813 Bradford,Detroit,51.33 $,12.08%,No,61596.00 $,59.03 $,1353.46 $
4380 Beaconsfield,Detroit,53.88 $,11.54%,No,64656.00 $,161.66 $,1425.46 $
13895 Saratoga,Detroit,58.50 $,10.86%,No,70200.00 $,831.77 $,2365.52 $
14078 Carlisle,Detroit,54.25 $,11.53%,No,65100.00 $,59.68 $,1268.53 $
14319 Rosemary,Detroit,49.69 $,11.81%,No,64597.00 $,54.66 $,972.58 $
15777 Ardmore,Detroit,48.37 $,10.12%,No,62881.00 $,331.45 $,1202.57 $
1-449 of 449,,,,,,,
