List of RealTokens,,,,,,
Short Name,City,Realt Price,Realt APR,RMM,Supply,Volume all time
10003 Pinehurst,Detroit,57.00 $,10.53%,No,62700.00 $,5497.08 $
11217 Greenwich,Cleveland,51.21 $,11.22%,No,117783.00 $,5838.67 $
2318-2324 W Marquette,Chicago,51.67 $,11.41%,No,516700.00 $,19157.60 $
893-895 W Philadelphia,Detroit,54.95 $,10.81%,No,98910.00 $,4569.69 $
10021 Grayton,Detroit,56.73 $,10.89%,No,62403.00 $,7321.63 $
15203 Park Grove,Detroit,53.00 $,11.84%,No,63600.00 $,3274.04 $
738-742 E 87th,Chicago,49.05 $,11.40%,No,402210.00 $,9524.28 $
13370 Wilshire,Detroit,58.38 $,10.54%,No,58380.00 $,3473.95 $
14066 Santa Rosa,Detroit,52.22 $,12.34%,No,313320.00 $,9325.54 $
1617 S Avers,Chicago,50.85 $,0.50%,No,396630.00 $,8263.95 $
1815 S Avers,Chicago,54.95 $,5.07%,No,329700.00 $,4277.39 $
11957 Olga,Detroit,53.45 $,10.33%,No,69485.00 $,6506.05 $
12405 Santa Rosa,Detroit,50.51 $,11.10%,Yes,131326.00 $,4422.20 $
4852-4854 W Cortez,Chicago,50.90 $,11.04%,No,916200.00 $,89500.08 $
12409 Whitehill,Detroit,54.24 $,11.69%,No,59664.00 $,11675.97 $
13606 Winthrop,Detroit,50.86 $,12.29%,No,55946.00 $,4522.91 $
19996 Joann,Detroit,51.75 $,10.27%,No,56925.00 $,3434.02 $
11078 Longview,Detroit,50.59 $,13.09%,No,758850.00 $,11592.29 $
1542 S Ridgeway,Chicago,52.23 $,10.59%,No,417840.00 $,32464.04 $
402 S Kostner,Chicago,51.93 $,8.24%,No,571230.00 $,53352.45 $
14918 Joy,Detroit,49.44 $,12.01%,Yes,692160.00 $,50205.46 $
10700 Whittier,Detroit,51.29 $,12.33%,No,718060.00 $,54435.88 $
17500 Evergreen,Detroit,57.08 $,10.60%,Yes,68496.00 $,10071.78 $
15753 Hartwell,Detroit,55.76 $,13.35%,No,94792.00 $,20699.66 $
11653 Nottingham,Detroit,58.02 $,10.50%,No,69624.00 $,9704.13 $
19200 Strasburg,Detroit,56.13 $,10.14%,No,67356.00 $,5383.94 $
18983 Alcoy,Detroit,54.82 $,0.00%,No,65784.00 $,0.00 $
14494 Chelsea,Detroit,53.16 $,10.33%,No,63792.00 $,11875.32 $
13045 Wade,Detroit,56.00 $,11.54%,No,67200.00 $,13875.90 $
10639 Stratman,Detroit,58.00 $,10.15%,No,69600.00 $,3729.00 $
9920 Bishop,Detroit,57.17 $,11.83%,No,68604.00 $,5682.13 $
10629 McKinney,Detroit,54.10 $,10.90%,No,64920.00 $,5223.14 $
11300 Roxbury,Detroit,59.07 $,11.89%,No,76791.00 $,11397.91 $
9481 Wayburn,Detroit,57.53 $,11.04%,No,69036.00 $,10002.76 $
5601 S Wood,Chicago,54.08 $,10.63%,No,297440.00 $,30604.06 $
14229 Wilshire,Detroit,54.68 $,10.88%,No,65616.00 $,9542.28 $
18776 Sunderland,Detroit,52.88 $,10.65%,No,63456.00 $,11621.23 $
17809 Charest,Detroit,56.00 $,11.34%,Yes,67200.00 $,5533.22 $
14882 Troester,Detroit,54.21 $,0.00%,Yes,65052.00 $,18315.03 $
14825 Wilfred,Detroit,52.75 $,10.67%,Yes,63300.00 $,10203.92 $
11078 Wayburn,Detroit,51.83 $,11.88%,Yes,62196.00 $,10464.51 $
15860 Hartwell,Detroit,54.04 $,10.70%,Yes,64848.00 $,541.44 $
11201 College,Detroit,55.71 $,12.04%,Yes,66852.00 $,2777.02 $
19333 Moenart,Detroit,55.25 $,11.33%,Yes,66300.00 $,4894.45 $
8181 Bliss,Detroit,53.96 $,12.50%,Yes,64752.00 $,5759.73 $
12866 Lauder,Detroit,54.25 $,11.43%,Yes,65100.00 $,2859.61 $
15350 Greydale,Detroit,54.42 $,11.58%,Yes,65304.00 $,2485.42 $
14231 Strathmoor,Detroit,52.46 $,15.42%,No,68198.00 $,8721.01 $
15373 Parkside,Detroit,58.82 $,10.75%,No,64702.00 $,3077.96 $
10617 Hathaway,Cleveland,54.02 $,14.82%,Yes,97236.00 $,1889.62 $
19218 Houghton,Detroit,55.91 $,11.87%,No,61501.00 $,5148.99 $
1115 S. Troy,Chicago,53.38 $,10.90%,No,587180.00 $,58452.90 $
9465 Beaconsfield,Detroit,55.92 $,11.86%,No,67104.00 $,1590.51 $
19136 Tracey,Detroit,56.67 $,11.28%,No,68004.00 $,2056.87 $
19020 Rosemont,Detroit,56.50 $,12.22%,No,67800.00 $,1801.79 $
16200 Fullerton,Detroit,185.80 $,12.41%,No,706040.00 $,136827.96 $
15634 Liberal,Detroit,51.58 $,14.04%,No,61896.00 $,8944.43 $
20200 Lesure,Detroit,71.50 $,13.14%,No,71500.00 $,4087.45 $
9336 Patton,Detroit,65.50 $,12.54%,No,65500.00 $,3498.42 $
8342 Schaefer,Detroit,52.00 $,12.94%,No,208000.00 $,21024.84 $
5942 Audubon,Detroit,82.00 $,14.25%,No,61500.00 $,4131.11 $
25097 Andover,Dearborn Heights,60.68 $,10.46%,No,84952.00 $,5698.50 $
18900 Mansfield,Detroit,53.45 $,15.45%,No,58795.00 $,4353.57 $
18276 Appoline,Detroit,54.23 $,12.56%,No,75922.00 $,4812.08 $
9943 Marlowe,Detroit,68.50 $,13.20%,No,68500.00 $,7591.17 $
3432 Harding,Detroit,51.23 $,11.38%,No,66599.00 $,18758.65 $
10084 Grayton,Detroit,52.94 $,11.09%,No,68822.00 $,12657.42 $
12334 Lansdowne,Detroit,55.15 $,11.46%,No,71695.00 $,12055.42 $
9169 Boleyn,Detroit,59.05 $,10.98%,No,76765.00 $,5446.57 $
9166 Devonshire,Detroit,57.89 $,12.83%,No,81046.00 $,5087.26 $
15778 Manor,Detroit,62.35 $,12.64%,No,81055.00 $,12032.16 $
10974 Worden,Detroit,55.15 $,11.21%,No,71695.00 $,7189.51 $
9165 Kensington,Detroit,56.85 $,12.30%,No,73905.00 $,28522.94 $
9309 Courville,Detroit,53.53 $,12.83%,No,74942.00 $,14738.99 $
10616 McKinney,Detroit,52.81 $,10.88%,No,68653.00 $,12509.08 $
18433 Faust,Detroit,59.00 $,9.17%,No,76700.00 $,10481.83 $
9133 Devonshire,Detroit,58.27 $,12.28%,No,75751.00 $,4305.28 $
10604 Somerset,Detroit,54.38 $,11.41%,No,70694.00 $,2079.28 $
4340 East 71,Cleveland,54.37 $,13.08%,No,434960.00 $,23482.00 $
10612 Somerset,Detroit,51.15 $,10.68%,No,66495.00 $,7201.45 $
13116 Kilbourne,Detroit,53.62 $,10.32%,Yes,69706.00 $,4706.76 $
13114 Glenfield,Detroit,59.94 $,10.48%,No,107892.00 $,8886.80 $
6923 Greenview,Detroit,53.62 $,10.68%,No,69706.00 $,3963.73 $
15784 Monte Vista,Detroit,55.50 $,11.73%,No,66600.00 $,9897.27 $
15048 Freeland,Detroit,50.65 $,11.29%,No,65845.00 $,2509.44 $
18273 Monte Vista,Detroit,55.23 $,10.39%,No,71799.00 $,386.65 $
15095 Hartwell,Detroit,52.08 $,12.16%,No,67704.00 $,1477.51 $
18466 Fielding,Detroit,54.38 $,11.39%,No,70694.00 $,516.07 $
13991 Warwick,Detroit,46.65 $,10.73%,No,60645.00 $,5339.28 $
1000 Florida,Akron,58.99 $,12.44%,No,235960.00 $,24323.80 $
10024-10028 Appoline,Detroit,173.74 $,10.24%,No,694960.00 $,33863.08 $
19317 Gable,Detroit,46.69 $,10.51%,No,60697.00 $,1534.78 $
581-587 Jefferson,Rochester,58.48 $,0.00%,No,584800.00 $,24800.39 $
272 N.E. 42nd Court,Deerfield Beach,108.83 $,4.41%,No,326490.00 $,27488.57 $
15770 Prest,Detroit,56.04 $,11.50%,No,72852.00 $,1108.16 $
1244 S. Avers,Chicago,50.00 $,10.40%,No,400000.00 $,3940.44 $
19596 Goulburn,Detroit,50.46 $,11.22%,No,65598.00 $,8061.15 $
18481 Westphalia,Detroit,53.83 $,10.35%,No,64596.00 $,218.36 $
15039 Ward,Detroit,52.13 $,12.36%,No,62556.00 $,2431.03 $
19311 Keystone,Detroit,52.13 $,10.63%,No,62556.00 $,582.82 $
4680 Buckingham,Detroit,50.54 $,11.00%,No,60648.00 $,758.35 $
4061 Grand,Detroit,71.11 $,11.23%,No,127998.00 $,1873.09 $
19163 Mitchell,Detroit,56.33 $,11.57%,No,67596.00 $,678.53 $
19201 Westphalia,Detroit,52.17 $,11.87%,No,62604.00 $,1204.28 $
9717 Everts,Detroit,50.50 $,11.81%,No,60600.00 $,1960.41 $
15796 Hartwell,Detroit,53.04 $,11.84%,No,63648.00 $,1834.55 $
17813 Bradford,Detroit,51.33 $,12.08%,No,61596.00 $,1353.46 $
4380 Beaconsfield,Detroit,53.88 $,11.54%,No,64656.00 $,1425.46 $
13895 Saratoga,Detroit,58.50 $,10.86%,No,70200.00 $,2365.52 $
14078 Carlisle,Detroit,54.25 $,11.53%,No,65100.00 $,1268.53 $
14319 Rosemary,Detroit,49.69 $,11.81%,No,64597.00 $,972.58 $
15777 Ardmore,Detroit,48.37 $,10.12%,No,62881.00 $,1202.57 $
1-449 of 449,,,,,,
