URL,identifier,offering_date
https://realt.co/product/5837-moran-st-detroit-mi-48211/,0xc2fb83f45c53d2194a9ee82e4bda3ee2120141f5,"August 4, 2023"
https://realt.co/product/8821-prairie-st-detroit-mi-48204/,0x80effd75fa30b8b89997d2522b3283a1e768f1bc,"August 22, 2023"
https://realt.co/product/15003-appoline-st-detroit-mi-48227/,0x99b9150b78968bf6d8a03723931b86caf632395a,"December 7, 2023"
https://realt.co/product/4852-4854-w-cortez-st-chicago-il-60651/,0xe7b6de709ffc3bd237c2f2c800e1002f97a760f3,"June 1, 2021"
https://realt.co/product/16851-16881-greenfield-rd-detroit-mi-48235/,0x960e61F5c4107D71bd8936B010416738c250f91c,"February 24, 2022"
https://realt.co/product/9171-whittier-ave-detroit-mi-48224/,0x18E55343ECFc135E21916fcdb9788acCB5B53cAF,"October 4, 2021"
https://realt.co/product/s-19391-grandview-st-detroit-mi-48219/,0xB80173756781960761AA59c9eEEBE191F049f4C8,"August 25, 2022"
https://realt.co/product/15715-talford-ave-cleveland-oh-44128/,0x24442006539fbf90f394cf162fcc2bc98c91d9a2,"January 25, 2024"
https://realt.co/product/12730-wade-st-detroit-mi-48213/,0x3D2129D9ceed93992CeA3Ee7D8E44754FaEDc922,"October 26, 2021"
https://realt.co/product/4680-buckingham-ave-detroit-mi-48224/,0xeFe82D6baF0dB71f92889eB9d00721bD49121316,"December 4, 2020"
https://realt.co/product/9165-kensington-ave-detroit-mi-48224/,0x3C56D5E887D8fA7AE1Ba65BF7eCCC25eC09EAF18,"June 30, 2020"
https://realt.co/product/10511-whittier-ave-detroit-mi-48224/,0x88F37cEE57B669CC1557D4f353dC11c113873F0B,"January 31, 2023"
https://realt.co/product/11078-wayburn-st-detroit-mi-48224/,0xb8403b7730368942a5BFe5aaC04a31B44015b1cc,"March 22, 2021"
https://realt.co/product/9336-patton-st-detroit-mi-48228/,0x23684569c0636C9aEa246551879d457D0a0E6F58,"August 7, 2019"
https://realt.co/product/8531-intervale-st-detroit-mi-48238/,0x690602Eb0BF5607E3586F1d3e4C4601ef6E4A89F,"September 1, 2021"
https://realt.co/product/10084-grayton-st-detroit-mi-48224/,0x92161385C9dE8798ad5fB01c0bE99fFcbC84dFD8,"June 30, 2020"
https://realt.co/product/20552-waltham-st-detroit-mi-48205/,0x185e39d860cf86fbecf4a7c341bd1545ea3a41b9,"September 1, 2021"
https://realt.co/product/2950-2952-monterey-st-detroit-mi-48206/,0xcD7DC5e034B631331Bc0cFC4EA71d2Dc7b53c338,"September 1, 2021"
https://realt.co/product/1991-ewald-cir-detroit-mi-48238/,0x60139f99ddb56b846b998a655de2d775acd936a1,"October 25, 2023"
https://realt.co/product/1-holdings-mccracken-rd-garfield-heights-oh-44125/,0x09106ba56f708b353fe252dd0749c913a3e8a5e1,"January 18, 2024"
https://realt.co/product/villa-marina-514-playa-venao-los-santos-panama/,0xc38e84bcc2d2693dd77d89f2b86a83e7fe98afa5,"June 29, 2023"
https://realt.co/product/16085-e-seven-mile-detroit-mi-48205/,0xe2FBdeADC82c71C1b8bFf9CA4f9E7666224A362c,"June 15, 2022"
https://realt.co/product/295-e-238th-st-euclid-oh-44123/,0x25042768d3cb2bfb5f8757dd151bb91fad727d46,"January 18, 2024"
https://realt.co/product/14481-hazelridge-st-detroit-mi-48205/,0x40074c412154562fb16441106c95900467e9c173,"June 8, 2023"
https://realt.co/product/3947-fairview-st-detroit-mi-48214/,0x053b0bd329dc21bd4fa278f62310f668c5f1a6ed,"July 13, 2023"
https://realt.co/product/3728-atkinson-st-detroit-mi-48206/,0x2010c480b73fd0865b6d2f164660da852d178d5d,"August 1, 2023"
https://realt.co/product/7913-faith-ln-montgomery-al-36117/,0x5a722eda908e3db61c9a14cce757ce673f5e3a17,"November 17, 2023"
https://realt.co/product/19041-lenore-ave-detroit-mi-48219/,0xAfA816f7fFF6f252E5CdBD40b80d9eF77B7e289B,"May 19, 2022"
https://realt.co/product/10411-10421-cadieux-rd-detroit-mi-48224/,0x07da3cDaE2396aA826387a48Deba5868d7Deb7bc,"March 10, 2022"
https://realt.co/product/1542-s-ridgeway-ave-chicago-il-60623/,0x69D1B42b20f3DED07bEC322253D0140b04Cbb6F5,"May 13, 2021"
https://realt.co/product/12334-lansdowne-street-detroit-mi-48224/,0xEe2f2212a64Ec3f6BC0F7580e10c53CB38B57508,"September 10, 2020"
https://realt.co/product/1-holdings-conner-st-detroit-mi-48215/,0x8236067c1b6dc176ebda95531168e93bbcee25b0,"April 12, 2023"
