Txn Hash,timestamp,Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX,volume_bought,volume_sold,token_bought,token_sold
0x451888a5ed89f9884222f80fca085f9fa55847d9088de51c24a2a7c6f4978e52,1596299578,Buy,0.414481305, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.4144813,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.414481305,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x224fc4e4ea5a20c25cf00896a42493f00c91a304a27897f4df31244b9acf5121,1596302799,Buy,0.409229037, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.40922904,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.409229037,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xbb74183be36ac67ef08d7837ec5b94d9268d80c5629028c87040cd9f7be2352d,1596304059,Buy,0.404076023, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.40407602,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.404076023,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x675775f0870b8b484ea7885ae38a45823859cd9d02cac8780b4ffe501d6eab96,1596308912,Buy,1.946459573, ETH,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.38929191,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,1.946459573,5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x6757b3c5dcf66e04b025fd73a641ed4af6aed103ead4e118bb8ff58158cf54dc,1596313513,Buy,0.190416233, ETH,0.5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.38083247,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.190416233,0.5, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xde621ac686db2b9ce570d8c9962a1ed77d300f0ad66297edda2bcd89c0dab9f3,1596339956,Buy,0.377407824, ETH,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.37740782,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.377407824,1, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xa2c9738fab99e899fec7c9679adda8cda5ebc6b2be0479495bafa7f8c66e114c,1596374640,Swap,0.764049674, UNI-V1,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.38202484,UNI-V1 per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.764049674,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, UNI-V1
0xa5109223e99802ef8cd5388ee8711359d99dde8c6d3ac408f4cc6fc4b2eef8f2,1596479529,Buy,0.759527877, ETH,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.37976394,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.759527877,2, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0xaf0163b701b64f6a382dec812a8edacb54d8e9bc45e7dec631448e05616a9b41,1596535087,Buy,0.502741399, ETH,1.351161697, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.37208085,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,0.502741399,1.351161697, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
0x2956564ccbf0196fee8ddc7fe544194e1d2cbf9cf84d3936b9ab53256108a7e2,1596661144,Buy,5.385424645, ETH,16, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,0.33658904,ETH per REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI,Uniswap,5.385424645,16, REALTOKEN-10024-10028-APPOLINE-ST-DETROIT-MI, ETH
